1,7-11_N,(SEVEN-ELEVEN_N),一手打”七”，另一手食指伸直置於其下。
2,7-11_S,(SEVEN-ELEVEN_S),手語”七”放在嘴前。
3,OK,(OK),拇指食指相接成圓，其餘三指伸直放身前。
4,一,(ONE),食指伸直放於身前。
5,一小時_A,(ONE HOUR_A),一手食指伸直，掌心向上，在另一手手錶處順時針繞一圈。
6,一小時_B,(ONE HOUR_B),一手握拳掌心向下，在另一手手腕處畫圈後將食指彈開伸直。
7,一小時_C,(ONE HOUR_C),一手握拳，掌心朝前，在身體前畫圈後將食指彈開伸直。
8,一分鐘_N,(ONE MINUTE_N),一手食指伸直靠近另一手手背處，由掌心朝內，轉成掌心朝外。
9,一分鐘_S,(ONE MINUTE_S),一手食指和姆指指尖接觸成圈，其餘緊閉；另一手食指伸直在其圈圈上向外擦出。
10,一天_A,(ONE DAY_A),食指伸直碰太陽穴後再向前移出。
11,一天_B,(ONE DAY_B),一+天。
12,一日_A,(ONE DAY_A),食指伸直碰太陽穴後再向前移出。
13,一日_B,(ONE DAY_B),食指伸直打開同時畫半圓。
14,一月,(JANUARY),一手比”一”橫放，另一手在其下方打”月”。
15,一毛錢,(DIME),食指捲曲放在口前，嘴吹氣。
16,一同,(TOGETHER),雙手攤開，手指微彎，兩手相對，往內相合。
17,一回,(ONCE),一手食指指尖點另一手手心後向上拉起。
18,一年,(YEAR),一手食指和姆指指尖接觸成圈形，其餘握緊；另一手食指在其圈形指尖由上至下繞一圈，然後停在圈上。
19,一年以前,(LAST YEAR),一手食指和姆指指尖接觸成圈形，其餘握緊；另一手食指在其圈形指尖上，向肩膀處往後一指。
20,一次,(ONCE),一手食指指尖點另一手手心後向上拉起。
21,一見鍾情,(LOVE AT FIRST SIGHT),相見+戀愛_B。
22,一角,(DIME),食指捲曲放在口前，嘴吹氣。
23,一言為定,(IT'S A DEAL),說+一樣。
24,一定,(DEFINITELY),雙手掌心上下相對，四指捲曲，用力相扣。
25,一枝獨秀,(UNIQUE),一手五指張開伸直，另一手食指伸直由其下向上伸出。
26,一秒鐘,(ONE SECOND),紅_N+一分鐘_N。
27,一致,(CONSISTENT),雙手姆指食指伸直在胸前交叉，左右拉開後，指尖相碰捏起。
28,一個月,(ONE MONTH),食指和姆指指尖接觸成圈，食指從臉頰處向外彈開伸直。
29,一個半,(ONE AND A HALF),食指伸直，拇指重複輕擦中指。
30,一個星期,(ONE WEEK),一手拇指、食指和中指伸直橫放，掌心向內；另一手食指伸直繞圈。
31,一個禮拜,(ONE WEEK),一手拇指、食指和中指伸直橫放，掌心向內；另一手食指伸直繞圈。
32,一個鐘頭_A,(ONE HOUR_A),一手食指伸直，掌心向上，在另一手手錶處順時針繞一圈。
33,一個鐘頭_B,(ONE HOUR_B),一手握拳掌心向下，在另一手手腕處畫圈後將食指彈開伸直。
